old_name;label;new_name
date_created;date_created;
date_modified;date_modified;
q0001;Wie alt sind Sie?;
q0002;Bitte geben Sie Ihr Geschlecht an.;
q0003_0001;"""Ich kann ziemlich viele der technischen Probleme, mit denen ich konfrontiert werde, allein lösen.""";
q0003_0002;"""Technische Geräte sind oft undurchschaubar und schwer zu beherrschen.""";
q0003_0003;"""Es macht mir richtig Spaß, ein technisches Problem zu knacken.""";
q0003_0004;"""Weil ich mit bisherigen technischen Problemen gut zurecht gekommen bin, blicke ich auch künftigen technischen Problemen optimistisch entgegen.""";
q0003_0005;"""Ich fühle mich technischen Geräten gegenüber so hilflos, dass ich die Finger von ihnen lasse.""";
q0003_0006;"""Auch wenn Widerstände auftreten, bearbeite ich ein technisches Problem weiter.""";
q0003_0007;"""Wenn ich ein technisches Problem löse, so geschieht es meistens durch Glück.""";
q0003_0008;"""Die meisten technischen Probleme sind so kompliziert, dass es wenig Sinn hat, sich mit ihnen auseinander zu setzen.""";
q0004;Bitte geben Sie Ihren Berufstand an.;
q0004_other;In welchem Beruf arbeiten Sie?;
q0005_0001;"""Schwierige Probleme reizen mich mehr als einfache.""";
q0005_0002;"""Ich suche Aufgaben, die meine Fähigkeiten herausfordern.""";
q0005_0003;"""Gerade schwierige Aufgaben fordern mich heraus.""";
q0005_0004;"""Ich mag es eine schwere Nuss knacken zu müssen.""";
q0005_0005;"""Ich denke hauptsächlich, wenn ich denken muss.""";
q0005_0006;"""Mir reicht es aus die richtige Antwort zu kennen, auch ohne die Gründe dahinter zu kennen.""";
q0005_0007;"""Ich habe viel Erfahrung im Umgang mit neuer Technik.""";
q0005_0008;"""Ich nutze gerne immer die neuste Technik.""";
q0005_0009;"""Ich vertraue auf Technik.""";
q0005_0010;"""Technik funktioniert meistens gut.""";
q0005_0011;"""Ich bin besorgt, ob mit Daten in unserer Gesellschaft vorsichtig umgegangen wird.""";
q0005_0012;"""Ich finde, mit Daten sollte vorsichtiger umgegangen werden.""";
q0005_0013;"""Technik stellt im Allgemeinen einen guten Datenschutz sicher.""";
q0005_0014;"""Datenschutz wird in Technik häufig schlecht sicher gestellt.""";
q0005_0015;"""Ich finde viel mehr Dinge könnten im Leben automatisiert werden.""";
q0005_0016;"""Ich bin gegen die Automatisierung sämtlicher Prozesse.""";
q0006_0001;In meiner Familie gibt es Personen, die auf häusliche Pflege angewiesen sind.;
q0006_0002;In meinem weiteren Umfeld gibt es Personen, die auf häusliche Pflege angewiesen sind.;
q0006_0003;Ich habe Erfahrung in der Pflege von körperlich beeinträchtigten Menschen.;
q0006_0004;Ich war schon einmal auf körperliche Pflege angewiesen.;
q0007_0001;Ich sehe es als Problem, dass der Roboter mit einer Kamera ausgestattet ist.;
q0007_0002;Durch die ständige Gesichtserkennung des Roboters fühle ich mich beobachtet.;
q0007_0003;Weil der Roboter über die Fähigkeit zur Ton- und Videoaufzeichnung verfügt, arbeite ich sorgfältiger und schneller.;
q0007_0004;Ich fühle mich unwohl, weil der Roboter ständig Ton- und Videoaufzeichnungen macht.;
q0008_0001;Die gesammelten Daten dürfen zur objektiven Bewertung meiner Leistung verwendet werden.;
q0008_0002;Ich habe Bedenken, dass die aufgezeichneten Daten durch Sicherheitslücken unbefugten Personen zugänglich werden.;
q0008_0003;Durch die Aufzeichnung des Roboters wird gute Arbeit besser erkennbar.;
q0008_0004;Die Anonymisierung der aufgezeichneten Daten ist für mich eine wichtige Voraussetzung für den Einsatz von Robotern.;
q0009_0001;Die kooperative Arbeit mit einem Roboter würde mir vermutlich Probleme bereiten.;
q0009_0002;Der zusätzliche Bedienaufwand des Roboters würde meine Arbeit erschweren.;
q0009_0003;Ich würde einen derartigen Roboter in meinem Arbeitsalltag nutzen wollen.;
q0010_0001;Hilfe beim Einsteigen ins Bett;
q0010_0002;Nahrungsaufnahme (Füttern lassen);
q0010_0003;Medikamentengabe;
q0010_0004;Körper eincremen;
q0010_0005;Haare waschen;
q0010_0006;Massieren;
q0010_0007;Ein- und Ausstieg aus der Badewanne;
q0010_0008;Waschen;
q0010_0009;Hilfe beim Toilettengang;
q0010_0010;Gesicht eincremen;
q0010_0011;Haare kämmen und schneiden;
q0011_0001;Hilfe beim Einsteigen ins Bett;
q0011_0002;Nahrungsaufnahme (Füttern lassen);
q0011_0003;Medikamentengabe;
q0011_0004;Körper eincremen;
q0011_0005;Haare waschen;
q0011_0006;Massieren;
q0011_0007;Ein- und Ausstieg aus der Badewanne;
q0011_0008;Waschen;
q0011_0009;Hilfe beim Toilettengang;
