old_name;label;new_name
date_created;date_created;date_created
date_modified;date_modified;date_modified
q0001;Wie alt sind Sie?;age
q0002;Bitte geben Sie Ihr Geschlecht an.;gender
q0003_0001;"""Ich kann ziemlich viele der technischen Probleme, mit denen ich konfrontiert werde, allein lösen.""";KUT1
q0003_0002;"""Technische Geräte sind oft undurchschaubar und schwer zu beherrschen.""";KUT2
q0003_0003;"""Es macht mir richtig Spaß, ein technisches Problem zu knacken.""";KUT3
q0003_0004;"""Weil ich mit bisherigen technischen Problemen gut zurecht gekommen bin, blicke ich auch künftigen technischen Problemen optimistisch entgegen.""";KUT4
q0003_0005;"""Ich fühle mich technischen Geräten gegenüber so hilflos, dass ich die Finger von ihnen lasse.""";KUT5
q0003_0006;"""Auch wenn Widerstände auftreten, bearbeite ich ein technisches Problem weiter.""";KUT6
q0003_0007;"""Wenn ich ein technisches Problem löse, so geschieht es meistens durch Glück.""";KUT7
q0003_0008;"""Die meisten technischen Probleme sind so kompliziert, dass es wenig Sinn hat, sich mit ihnen auseinander zu setzen.""";KUT8
q0004;Bitte geben Sie Ihren Berufstand an.;job_type
q0004_other;In welchem Beruf arbeiten Sie?;
q0005_0001;"""Schwierige Probleme reizen mich mehr als einfache.""";DIFFPREF1
q0005_0002;"""Ich suche Aufgaben, die meine Fähigkeiten herausfordern.""";DIFFPREF2
q0005_0003;"""Gerade schwierige Aufgaben fordern mich heraus.""";DIFFPREF3
q0005_0004;"""Ich mag es eine schwere Nuss knacken zu müssen.""";DIFFPREF4
q0005_0005;"""Ich denke hauptsächlich, wenn ich denken muss.""";DIFFPREF5
q0005_0006;"""Mir reicht es aus die richtige Antwort zu kennen, auch ohne die Gründe dahinter zu kennen.""";DIFFPREF6
q0005_0007;"""Ich habe viel Erfahrung im Umgang mit neuer Technik.""";TK1
q0005_0008;"""Ich nutze gerne immer die neuste Technik.""";TK2
q0005_0009;"""Ich vertraue auf Technik.""";TK3
q0005_0010;"""Technik funktioniert meistens gut.""";TK4
q0005_0011;"""Ich bin besorgt, ob mit Daten in unserer Gesellschaft vorsichtig umgegangen wird.""";PRIVCON1
